stu_rollno,total_fees,discount,Amount_to_pay,outstanding_amount,status
1,5000,500,4500,0,Paid
2,5500,550,4950,0,Paid
3,6000,600,5400,1200,balance
4,5200,520,4680,0,Paid
5,4800,480,4320,0,Paid
6,5600,560,5040,500,balance
7,5800,580,5220,0,Paid
8,5100,510,4590,1700,balance
9,5250,525,4725,0,Paid
10,5050,505,4545,1765,balance
11,5300,530,4770,0,Paid
12,5400,540,4860,0,Paid
13,5050,505,4545,1500,balance
14,5500,550,4950,0,Paid
15,5250,525,4725,0,Paid
16,5200,520,4680,0,Paid
17,5000,500,4500,3000,balance
18,5600,560,5040,0,Paid
19,5300,530,4770,0,Paid
20,5800,580,5220,1000,balance
