roll_no,Administration_status,Fees_status,Academic_status,Library_status
1,"No Dues","No Dues","No Dues","No Dues"
2,"No Dues","No Dues",Dues,"No Dues"
3,"No Dues",Dues,"No Dues","No Dues"
4,"No Dues","NO Dues",Dues,"No Dues"
5,"No Dues","No Dues",Dues,Dues
6,"No Dues",Dues,"No Dues","No Dues"
7,"No Dues","No Dues","No Dues","No Dues"
8,"No Dues",Dues,"No Dues","No Dues"
9,"No Dues","No Dues","No Dues","No Dues"
10,"No Dues",Dues,"No Dues","No Dues"
11,"No Dues","No Dues","No Dues","No Dues"
12,"No Dues","No Dues","No Dues","No Dues"
13,"No Dues",Dues,"No Dues","No Dues"
14,"No Dues","No Dues","No Dues","No Dues"
15,"No Dues","No Dues","No Dues","No Dues"
16,"No Dues","No Dues","No Dues","No Dues"
17,"No Dues",Dues,"No Dues","No Dues"
18,"No Dues","No Dues","No Dues","No Dues"
19,"No Dues","No Dues","No Dues","No Dues"
20,"No Dues",Dues,Dues,"No Dues"
