S_roll_no,ASOMs,Degree_certificate,LC_MC_TC,Date,Feedback
1,Received,Received,Received,2023-10-17,"Top student."
2,Pending,Pending,Pending,NULL,"Need Attention."
3,Pending,Pending,Pending,NULL,"Well done.."
4,Pending,Pending,Pending,NULL,"Need Attention."
5,Pending,Pending,Pending,NULL,"Need Attention."
6,Pending,Pending,Pending,NULL,"Well done."
7,Received,Received,Received,2023-10-07,"Excellent performance."
8,Pending,Pending,Pending,NULL,"Well Done."
9,Received,Received,Received,2023-10-09,"Well Done."
10,Pending,Pending,Pending,NULL,"Highly recommended."
11,Received,Received,Received,2023-10-11,Satisfactory.
12,Received,Received,Received,2023-10-08,"Well done."
13,Pending,Pending,Pending,NULL,"Well done."
14,Received,Received,Received,2023-10-14,"Well Done."
15,Received,Received,Received,2023-10-15,"Excellent performance."
16,Received,Received,Received,2023-10-16,Satisfactory.
17,Pending,Pending,Pending,NULL,"Well done."
18,Received,Received,Received,2023-10-18,"Excellent performance."
19,Received,Received,Received,2023-10-19,"Well done."
20,Pending,Pending,Pending,NULL,"Need Attention."
